session_id,student_id,present,pending
2671262,88,intime,
2671262,89,early,
2671262,90,early,
2671263,53,intime,
2671263,54,early,
2671263,55,intime,
2671263,56,early,
2671263,57,early,
2671263,58,intime,
2671263,59,intime,
2671263,60,early,
2671263,61,early,
2671263,62,early,
2671263,63,intime,
2671263,64,early,
2671263,65,early,
2671263,66,intime,
2671263,67,early,
2671263,68,intime,
2671263,69,intime,
2671263,70,early,
2671263,71,early,
2671263,72,early,
2671263,73,intime,
2671263,74,early,
2671263,75,early,
2671263,76,early,
2671263,77,early,
2671263,78,early,
2671263,79,early,
2671263,80,intime,
2671263,81,intime,
2671263,82,intime,
2671263,83,intime,
2671263,84,early,
2671263,85,intime,
2671263,86,intime,
2671263,87,intime,
2671263,88,intime,
2671263,89,early,
2671263,90,early,
2671264,53,intime,
2671264,54,early,
2671264,55,intime,
2671264,56,early,
2671264,57,early,
2671264,58,early,
2671264,59,intime,
2671264,60,early,
2671264,61,early,
2671264,62,early,
2671264,63,intime,
2671264,64,early,
2671264,65,early,
2671264,66,early,
2671264,67,early,
2671264,68,early,
2671264,69,early,
2671264,70,early,
2671264,71,early,
2671264,72,early,
2671264,73,,
2671264,74,early,
2671264,75,early,
2671264,76,early,
2671264,77,intime,
2671264,78,early,
2671264,79,early,
2671264,80,intime,
2671264,81,early,
2671264,82,early,
2671264,83,intime,
2671264,84,intime,
2671264,85,intime,
2671264,86,early,
2671264,87,intime,
2671264,88,early,
2671264,89,early,
2671264,90,early,
2671265,53,early,
2671265,54,early,
2671265,55,intime,
2671265,56,early,
2671265,57,early,
2671265,58,early,
2671265,59,,
2671265,60,early,
2671265,61,early,
2671265,62,early,
2671265,63,intime,
2671265,64,intime,
2671265,65,early,
2671265,66,intime,
2671265,67,early,
2671265,68,intime,
2671265,69,early,
2671265,70,intime,
2671265,71,intime,
2671265,72,early,
2671265,73,early,
2671265,74,intime,
2671265,75,intime,
2671265,76,early,
2671265,77,early,
2671265,78,intime,
2671265,79,early,
2671265,80,early,
2671265,81,intime,
2671265,82,early,
2671265,83,intime,
2671265,84,intime,
2671265,85,intime,
2671265,86,,
2671265,87,intime,
2671265,88,early,
2671265,89,early,
2671265,90,early,
2671266,53,early,
2671266,54,early,
2671266,55,intime,
2671266,56,early,
2671266,57,early,
2671266,58,intime,
2671266,59,intime,
2671266,60,early,
2671266,61,early,
2671266,62,early,
2671266,63,intime,
2671266,64,intime,
2671266,65,early,
2671266,66,intime,
2671266,67,early,
2671266,68,intime,
2671266,69,early,
2671266,70,early,
2671266,71,early,
2671266,72,early,
2671266,73,intime,
2671266,74,early,
2671266,75,early,
2671266,76,early,
2671266,77,early,
2671266,78,early,
2671266,79,early,
2671266,80,early,
2671266,81,early,
2671266,82,early,
2671266,83,intime,
2671266,84,early,
2671266,85,intime,
2671266,86,early,
2671266,87,,
2671266,88,early,
2671266,89,early,
2671266,90,early,
2671267,53,early,
2671267,54,early,
2671267,55,intime,
2671267,56,early,
2671267,57,early,
2671267,58,early,
2671267,59,early,
2671267,60,early,
2671267,61,early,
2671267,62,early,
2671267,63,intime,
2671267,64,early,
2671267,65,early,
2671267,66,intime,
2671267,67,early,
2671267,68,intime,
2671267,69,early,
2671267,70,early,
2671267,71,early,
2671267,72,early,
2671267,73,intime,
2671267,74,early,
2671267,75,early,
2671267,76,early,
2671267,77,early,
2671267,78,intime,
2671267,79,early,
2671267,80,early,
2671267,81,early,
2671267,82,intime,
2671267,83,early,
2671267,84,intime,
2671267,85,intime,
2671267,86,intime,
2671267,87,early,
2671267,88,early,
2671267,89,intime,
2671267,90,early,
2671268,53,early,
2671268,54,early,
2671268,55,intime,
2671268,56,early,
2671268,57,early,
2671268,58,intime,
2671268,59,early,
2671268,60,early,
2671268,61,early,
2671268,62,early,
2671268,63,intime,
2671268,64,early,
2671268,65,early,
2671268,66,intime,
2671268,67,early,
2671268,68,intime,
2671268,69,,
2671268,70,early,
2671268,71,intime,
2671268,72,early,
2671268,73,intime,
2671268,74,early,
2671268,75,early,
2671268,76,,
2671268,77,intime,
2671268,78,early,
2671268,79,early,
2671268,80,early,
2671268,81,early,
2671268,82,early,
2671268,83,intime,
2671268,84,early,
2671268,85,intime,
2671268,86,early,
2671268,87,intime,
2671268,88,intime,
2671268,89,early,
2671268,90,early,
2671269,53,intime,
2671269,54,early,
2671269,55,intime,
2671269,56,early,
2671269,57,intime,
2671269,58,early,
2671269,59,intime,
2671269,60,early,
2671269,61,early,
2671269,62,early,
2671269,63,intime,
2671269,64,early,
2671269,65,early,
2671269,66,intime,
2671269,67,early,
2671269,68,,
2671269,69,early,
2671269,70,early,
2671269,71,early,
2671269,72,early,
2671269,73,intime,
2671269,74,,
2671269,75,early,
2671269,76,early,
2671269,77,early,
2671269,78,early,
2671269,79,early,
2671269,80,early,
2671269,81,early,
2671269,82,early,
2671269,83,intime,
2671269,84,early,
2671269,85,intime,
2671269,86,intime,
2671269,87,intime,
2671269,88,intime,
2671269,89,early,
2671269,90,intime,
2671270,53,early,
2671270,54,early,
2671270,55,intime,
2671270,56,early,
2671270,57,early,
2671270,58,early,
2671270,59,intime,
2671270,60,early,
2671270,61,early,
2671270,62,early,
2671270,63,intime,
2671270,64,early,
2671270,65,early,
2671270,66,intime,
2671270,67,intime,
2671270,68,intime,
2671270,69,early,
2671270,70,early,
2671270,71,intime,
2671270,72,early,
2671270,73,early,
2671270,74,early,
2671270,75,early,
2671270,76,early,
2671270,77,early,
2671270,78,early,
2671270,79,early,
2671270,80,early,
2671270,81,early,
2671270,82,intime,
2671270,83,intime,
2671270,84,intime,
2671270,85,intime,
2671270,86,intime,
2671270,87,early,
2671270,88,early,
2671270,89,early,
2671270,90,intime,
2671271,53,intime,
2671271,54,early,
2671271,55,intime,
2671271,56,,
2671271,57,intime,
2671271,58,early,
2671271,59,intime,
2671271,60,early,
2671271,61,early,
2671271,62,early,
2671271,63,intime,
2671271,64,intime,
2671271,65,intime,
2671271,66,intime,
